condition,iteration,accuracy,macro_f1,n_train
naive,0,0.4,0.3333333333333333,16
few_shot,0,0.5,0.4666666666666666,16
self_critique,0,0.5,0.3942857142857143,16
self_critique,1,0.3,0.25,16
self_critique,2,0.3,0.2571428571428572,16
realism_only,0,0.3,0.18888888888888888,16
realism_only,1,0.4,0.3,16
realism_only,2,0.3,0.21428571428571433,16
diversity_only,0,0.3,0.2,16
diversity_only,1,0.1,0.05,16
diversity_only,2,0.7,0.6266666666666666,16
full_classic,0,0.4,0.36666666666666664,16
full_classic,1,0.5,0.4,16
full_classic,2,0.4,0.2942857142857143,16
full_attrforge,0,0.4,0.31333333333333335,16
full_attrforge,1,0.3,0.21333333333333332,16
full_attrforge,2,0.5,0.36666666666666664,16
